ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
EWC,Canadian equities,2022-12,-0.056281776867965094,-0.00963977585099333,2
GLD,Gold,2022-12,0.029306480544948332,3.0104622445228008e-05,3
EEM,Emerging-market equities,2022-12,-0.026374851999762083,-0.017201946528103484,4
EFA,Developed international equities,2022-12,-0.018128930177373936,-0.010815076674282035,5
AGG,US aggregate bonds,2022-12,-0.008705035099981662,-0.011287078782565388,6
EWC,Canadian equities,2023-01,0.09471439129300108,-0.0012264818344978983,1
EEM,Emerging-market equities,2023-01,0.09129264365294287,-0.009577163823918758,2
EFA,Developed international equities,2023-01,0.09003656864914178,-0.00028287957128339536,3
SPY,US equities,2023-01,0.06288748070443306,-0.004911087066670428,4
GLD,Gold,2023-01,0.057592578740819356,0.006228454209101536,5
AGG,US aggregate bonds,2023-01,0.03330272324367578,-0.006846347369277787,6
EEM,Emerging-market equities,2023-02,-0.07567706229325866,-0.012283404394811237,1
GLD,Gold,2023-02,-0.05367596446851419,-0.0033459811689606025,2
EWC,Canadian equities,2023-02,-0.04967922504294142,-0.005431878096015345,3
EFA,Developed international equities,2023-02,-0.030747842900096467,1.2437919555805902e-05,4
AGG,US aggregate bonds,2023-02,-0.026656877772961662,-0.008113076637979694,5
SPY,US equities,2023-02,-0.025142652829794998,-0.004546553740617881,6
GLD,Gold,2023-03,0.07916127976888476,0.0021903271563381934,1
SPY,US equities,2023-03,0.037077857325626074,-0.004589270813100667,2
EEM,Emerging-market equities,2023-03,0.032173952189649135,-0.00678462520285016,3
EFA,Developed international equities,2023-03,0.031290602435887216,0.00218750991557895,4
AGG,US aggregate bonds,2023-03,0.026412307448277383,-0.0035685387902974577,5
